company_name,company_number,company_status,company_type,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,SICCODE_1,SICCODE_2,SICCODE_3,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEETHAM FOODSTORES LIMITED,7810224,dissolved,ltd,30-09-2014,14-10-2011,['47210'],,378 Cheetham Hill Road,Manchester,M8 9LS,,,England,47210,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERRARDS GREENGROCERS LIMITED,7825373,dissolved,ltd,20-01-2015,27-10-2011,['47210'],,75-77 Church Street,Wolverhampton,WV14 0BJ,Bilston,West Midlands,England,47210,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHEND BANGLA BAZAAR LIMITED,7829430,dissolved,ltd,05-01-2016,31-10-2011,['47210'],,519 London Road,Westcliff-On-Sea,SS0 9LJ,,Essex,,47210,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY FAYRE (YORK) LIMITED,7853014,dissolved,ltd,15-03-2016,18-11-2011,"['47210', ' 47760', ' 62020']",,35 Green Lane,York,YO24 3DA,Acomb,North Yorkshire,,47210,47760,62020,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELIN FOOD CENTRE LIMITED,7855507,dissolved,ltd,08-01-2019,21-11-2011,['47210'],,Pixel Building,Waltham Abbey,EN9 1JH,110 Brooker Road,Essex,England,47210,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IATROTEC PROFESSIONAL LEARNING LTD,7830596,dissolved,ltd,05-07-2022,01-11-2011,"['85421', ' 85422', ' 85590', ' 86900']",,104 Harewood Avenue,Bournemouth,BH7 6NS,,,,85421,85422,85590,86900,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWTSD LEARNING CENTRES LTD,7853426,dissolved,ltd,12-10-2021,18-11-2011,"['85421', ' 85422', ' 85590']",,Carmarthen Campus,Carmarthen,SA31 3EP,College Road,Carmarthenshire,,85421,85422,85590,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106 BUSINESS SOLUTIONS LIMITED,10905688,Active,ltd,,08-08-2017,[46310],,86 - 90 PAUL STREET,LONDON,EC2A 4NE,3RD FLOOR,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 - 14 THAYER STREET LIMITED,11691086,Active,ltd,,22-11-2018,[46310],,31 ELM AVENUE,RUISLIP,HA4 8PE,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 LIMITED,9036248,Active,ltd,,13-05-2014,[46310],,29 BARLOW DRIVE,LONDON,SE18 4NE,,England,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 VEG LTD,14318873,Active,ltd,,25-08-2022,[46310],,43 KYNASTON AVENUE,THORNTON HEATH,CR7 7BZ,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 SEVEN FOOD SERVICE LIMITED,11283905,Active,ltd,,29-03-2018,[46310],,1 HEATHCOTE,BOURNEMOUTH,BH5 1EZ,2 HEATHCOTE ROAD,Dorset,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2A&M LIMITED,13334244,Active,ltd,,14-04-2021,[46310],,14B PORTLAND HOUSE,HIGH WYCOMBE,HP13 6DQ,ARNISON AVENUE,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2SERVE WHOLESALE LTD,5752939,Active,ltd,,23-03-2006,[46310],,A60-A61 NEW COVENT GARDEN MARKET FRUIT & VEGETABLE MARKET,LONDON,SW8 5EE,VAUXHALL,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 B'S FOOD GROUP LTD,12273136,Active,ltd,,21-10-2019,[46310],,27 ST. CUTHBERTS STREET,BEDFORD,MK40 3JG,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323 DISCOUNTS LTD,14442070,Active,ltd,,25-10-2022,[46310],,487 LINCOLN ROAD,PETERBOROUGH,PE1 2PE,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DS FRUIT & VEG INTERNATIONAL LTD,7966323,Active - Proposal to Strike off,ltd,,27-02-2012,[46310],,60 VICTORIA AVENUE,LONDON,E6 1EY,,,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3J RETAIL LTD,11926462,Active - Proposal to Strike off,ltd,,04-04-2019,[46310],,TURNPIKE OFF LICENSE,LEIGH-ON-SEA,SS9 2UA,1206 LONDON ROAD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 SEASONS DELI LTD,14489031,Active,ltd,,16-11-2022,[46310],,178 MITCHAM ROAD,LONDON,SW17 9NJ,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4SEVEN PROCUREMENT AND LOGISTICS LTD,13704589,Active - Proposal to Strike off,ltd,,26-10-2021,[46310],,45 WHEELER STREET,ASHFORD,TN27 9ST,HEADCORN,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 STAR FRUIT AND VEG (SPITALFIELDS) LTD,7843777,Active,ltd,,11-11-2011,[46310],,416 GREEN LANE,ILFORD,IG3 9JX,,Essex,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 STAR FRUIT AND VEG LONDON LTD,8500317,Active,ltd,,23-04-2013,[46310],,416 GREEN LANE,ILFORD,IG3 9JX,,Essex,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 STAR FRUIT AND VEG TRADING LTD,8457960,Active,ltd,,22-03-2013,[46310],,416 GREEN LANE,ILFORD,IG3 9JX,,Essex,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5STAR GENERAL SUPPLIES LTD,12788339,Active,ltd,,03-08-2020,[46310],,47 FARMILO ROAD,LONDON,E17 8JL,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5TOWNS FRUIT AND VEG LIMITED,10350781,Active,ltd,,30-08-2016,[46310],,4B GRENLEY STREET,KNOTTINGLEY,WF11 8AX,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 HILLS WHOLESALE AND DISTRIBUTION LTD,13855854,Active,ltd,,18-01-2022,[46310],,UNIT 2,SHEFIELD,S6 1JF,BAXTER ROAD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 STAR FOODS LIMITED,9904081,Active,ltd,,07-12-2015,[46310],,299A BETHNAL GREEN ROAD,LONDON,E2 6AH,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786HYE LIMITED,11134306,Active,ltd,,05-01-2018,[46310],,2 PARK AVENUE,ILFORD,IG1 4RT,1C VALEBROOK,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95 LONGITUDE LTD,14145252,Active,ltd,,01-06-2022,[46310],,150 CHURCH ROAD,ST. HELENS,WA11 0LA,HAYDOCK,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9AIJAM LTD,8976701,Active - Proposal to Strike off,ltd,,03-04-2014,[46310],,639 HIGH ROAD LEYTON,LONDON,E10 6RF,LEYTON,,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & B POTATOES LIMITED,8200627,Active,ltd,,04-09-2012,[46310],,TREMABYN,SALTASH,PL12 4RT,TREMATON,Cornwall,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & F BD INTERNATIONAL LIMITED,13490850,Active,ltd,,02-07-2021,[46310],,12 PORTIA WAY,LONDON,E3 4JH,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & H FOOD SUPPLIERS LTD,12723673,Active,ltd,,06-07-2020,[46310],,174 ARISDALE AVENUE,SOUTH OCKENDON,RM15 5FE,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & H FRUIT WHOLESALES LIMITED,10527423,Active,ltd,,15-12-2016,[46310],,"18 ST. JAMES'S MARKET, ESSEX STREET",BRADFORD,BD4 7PN,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & N TRADING LIMITED,14490433,Active,ltd,,17-11-2022,[46310],,FLAT 21 ASHWOOD HOUSE,LONDON,NW4 2BD,BELLE VUE ESTATE,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & R FRUITS AND VEG MERCHANTS LTD,13954462,Active,ltd,,04-03-2022,[46310],,FIRST FLOOR,BIRMINGHAM,B6 6JB,2 BEVINGTON ROAD,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & R PRODUCE IMPORT LIMITED,13007632,Active - Proposal to Strike off,ltd,,10-11-2020,[46310],,24 LONGLEY ROAD,GILLINGHAM,ME8 7RT,RAINHAM,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & S DIRECT FOODS LIMITED,SC734545,Active,ltd,,06-06-2022,[46310],,C/O ASKARI & CO LIMITED,GLASGOW,G41 2LL,162 DARNLEY STREET,Scotland,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & S EXOTIC LTD,8673079,Active,ltd,,03-09-2013,[46310],,36 WARWICK GARDENS,ILFORD,IG1 4LE,,Essex,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & Z FRESH LTD,12400985,Active,ltd,,13-01-2020,[46310],,3 PRIORY STREET,LONDON,E3 3BU,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A A & EVA LIMITED,7723236,Active,ltd,,29-07-2011,[46310],,1ST FLOOR,LONDON,E1 1JE,112-116 WHITECHAPEL ROAD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A B FRUITS LIMITED,5651085,Active,ltd,,12-12-2005,[46310],,27 ST. CUTHBERTS STREET,BEDFORD,MK40 3JG,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A GOMEZ LIMITED,2446884,Active,ltd,,27-11-1989,[46310],,COLDHARBOUR LANE,CANTERBURY,CT4 5HL,BRIDGE,Kent,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A IMPORT EXPORT LTD,13525484,Active - Proposal to Strike off,ltd,,22-07-2021,[46310],,"VINCENT COURT, NO. 21 GREEN LANE",LONDON,NW4 2AN,LONDON,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A J FRESH PRODUCE (MIDLANDS) LIMITED,13691258,Active,ltd,,20-10-2021,[46310],,72 TEMPERANCE STREET,MANCHESTER,M12 6HU,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A J WEBB & SON (SHEFFIELD) LTD,3146578,Active,ltd,,10-01-1996,[46310],,UNIT 1 SOUTH YORKSHIRE FRESH,PARKWAY DRIVE SHEFFIELD,S9 4WN,PRODUCE & FLOWER CENTRE,South Yorkshire,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A K EXOTIC UK LTD,8245542,Active,ltd,,09-10-2012,[46310],,11 SPRINGWOOD AVENUE,HUDDERSFIELD,HD1 4BG,SPRINGWOOD,,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A M PRODUCE LIMITED,2872885,Active,ltd,,17-11-1993,[46310],,1 KENNEDY CLOSE,PINNER,HA5 4HL,HATCH END,Middlesex,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A MCKEOWN & SONS LIMITED,NI070794,Active,ltd,,16-10-2008,[46310],,5 SUGAR ISLAND ROAD,PORTADOWN,BT63 5PD,BLEARY,County Down,NORTHERN IRELAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A P DELIVERY & DISTRIBUTION LTD,13988365,Active,ltd,,19-03-2022,[46310],,LEIGH BROW HOUSE LEIGH BROW,PRESTON,PR5 5QZ,LOSTOCK HALL,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A S FRESH PRODUCE LIMITED,8698234,Active,ltd,,19-09-2013,[46310],,90 MILL LANE,LONDON,NW6 1NL,WEST HAMPSTEAD,,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A S GREEN PRODUCE LIMITED,11411556,Active,ltd,,12-06-2018,[46310],,ROOK ROW FARM MOOREND CROSS,MALVERN,WR13 5PR,MATHON,Worcestershire,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A TO Z FRESH WEALDSTONE LTD,12776121,Active,ltd,,29-07-2020,[46310],,126 HIGH STREET,HARROW,HA3 7AL,WEALDSTONE,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&A SPITTAL LIMITED,SC536532,Active,ltd,,26-05-2016,[46310],,BERRYHILL FARM,CUMNOCK,KA18 2NB,AUCHINLECK,Ayrshire,SCOTLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&C PRODUCE LIMITED,13143224,Active,ltd,,19-01-2021,[46310],,42 BIDDESTONE ROAD,LONDON,N7 9RA,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&J LONDON LTD,13482091,Active,ltd,,29-06-2021,[46310],,1 WATFORD WAY,HENDON,NW4 3JS,,London,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&M AGGRO IMPORTS UK LTD,13330294,Active,ltd,,13-04-2021,[46310],,332 DUNSMORE AVENUE,COVENTRY,CV3 3HB,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&N WHOLESALE LTD,7126624,Active,ltd,,15-01-2010,[46310],,23 TROWBRIDGE GARDENS,LUTON,LU2 7JY,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&Q COMMERCE LTD,14427008,Active,ltd,,18-10-2022,[46310],,FLAT 1,LONDON,SE25 5QF,2 SELHURST ROAD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&V RETAIL LTD,12971351,Active,ltd,,23-10-2020,[46310],,38 WEST AVENUE,SOUTHALL,UB1 2AP,,Middlesex,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A. CAMACHO, U.K. LIMITED",4435852,Active,ltd,,10-05-2002,[46310],,UNITS 1 AND 2 FIELD VIEW BAYNARDS GREEN BUSINESS PARK,BICESTER,OX27 7SG,BAYNARDS GREEN,Oxfordshire,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. PENNINGTON (STRETFORD) LIMITED,1431966,Active,ltd,,21-06-1979,[46310],,"FIRST FLOOR, MERCHANT EXCHANGE",MACCLESFIELD,SK11 6JX,WATERS GREEN,Chesire,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. S.  FRUIT & VEG LIMITED,7848451,Active,ltd,,15-11-2011,[46310],,UNIT 20 BIRMINGHAM WHOLESALE MARKET,BIRMINGHAM,B6 7EU,"NOBEL WAY, 7 THE HUB",West Midlands,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. W. DUNCOMBE & SON LIMITED,5442221,Active,ltd,,04-05-2005,[46310],,1 MARKET PLACE,BRACKLEY,NN13 7AB,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.CARMICHAEL & CO.LIMITED,370929,Active,ltd,,28-11-1941,[46310],,NEWHAVEN 3 HUMBERDALE CLOSE,NORTH FERRIBY,HU14 3NS,"TRANBY LANE, SWANLAND",North Humberside,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.E. LENTON LIMITED,473649,Active,ltd,,06-10-1949,[46310],,CHURCH END,BOSTON,PE22 8NE,FRISKNEY,Lincolnshire,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.EAMES LIMITED,335443,Active,ltd,,03-01-1938,[46310],,COMPACTOR HOUSE BILLINGSGATE MARKET,LONDON,E14 5ST,TRAFALGAR WAY,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.G. AXTON & SONS (WHOLESALE) LIMITED,4631777,Active,ltd,,09-01-2003,[46310],,13 HURSLEY ROAD,EASTLEIGH,SO53 2FW,CHANDLERS FORD,Hampshire,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.G. THAMES HOLDINGS LIMITED,987311,Active,ltd,,19-08-1970,[46310],,THAMES HOUSE,CRAYFORD,DA1 4QP,THAMES ROAD,Kent,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.K FRUIT & VEG LTD,12527765,Active,ltd,,20-03-2020,[46310],,2 ONYX CLOSE,CRAWLEY,RH10 3GH,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.P.S. SALADS LIMITED,5975348,Active,ltd,,23-10-2006,[46310],,ENTERPRISE HOUSE,WILMSLOW,SK9 1PT,97 ALDERLEY ROAD,Cheshire,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.R'S FRUIT 'N' VEG LIMITED,14084924,Active,ltd,,04-05-2022,[46310],,60 WATLING STREET,RADLETT,WD7 7NN,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.S.H. IMPORTS (UK) LIMITED,7009683,Active,ltd,,04-09-2009,[46310],,214 LOWER ADDISCOMBE ROAD,CROYDON,CR0 7AB,,Surrey,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.W. CAVANAGH (SPITALFIELDS) LIMITED,2050658,Active,ltd,,29-08-1986,[46310],,CBW LLP - FLOOR 3,LONDON,E1 8NN,66 PRESCOT STREET,,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1 FRUIT AND VEG LTD,11884934,Active - Proposal to Strike off,ltd,,15-03-2019,[46310],,20-22 WENLOCK ROAD,LONDON,N1 7GU,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2B1011 WHOLESALES LIMITED,14466713,Active,ltd,,07-11-2022,[46310],,37 AVENONS ROAD,LONDON,E13 8HU,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2Z FRUIT & VEG LTD,11791149,Active,ltd,,28-01-2019,[46310],,"UNIT C,",BRISTOL,BS2 0YA,"126 ALBERT ROAD,",,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2Z MERCHANDISE LTD,12596436,Active,ltd,,12-05-2020,[46310],,UNIT 54C PRINCESS MARGARET ROAD,TILBURY,RM18 8RH,EAST TILBURY,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA EXOTICS LTD,13127866,Active,ltd,,12-01-2021,[46310],,72 BANCROFT CHASE,HORNCHURCH,RM12 4DR,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA FOOD SUPPLY CENTRE LTD,14108289,Active,ltd,,16-05-2022,[46310],,214 MONEGA ROAD,LONDON,E12 6TS,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA FRUITS & NUTS LIMITED,13205049,Active,ltd,,16-02-2021,[46310],,25 HALL ROAD,LONDON,E6 2NG,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA PRODUCE (LONDON) LIMITED,12575315,Active,ltd,,28-04-2020,[46310],,2 POLLARD ROAD,LONDON,N20 0UB,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA PRODUCE LIMITED,12574594,Active,ltd,,27-04-2020,[46310],,2 POLLARD ROAD,LONDON,N20 0UB,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA SALADS LIMITED,9684706,Active,ltd,,14-07-2015,[46310],,UNIT 25 ROBINSONS INDUSTRIAL ESTATE,DERBY,DE23 8NL,SHAFTESBURY STREET,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA VEG LIMITED,14508846,Active,ltd,,28-11-2022,[46310],,161 ELM GROVE,SOUTHSEA,PO5 1LU,ELM GROVE,Hampshire,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAC & CO LTD,8799116,Active,ltd,,02-12-2013,[46310],,28 MONARCH MEWS,LONDON,SW16 3HN,CROWN LANE,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAM FOOD SERVICES LTD,SC675219,Active,ltd,,23-09-2020,[46310],,104 ABERCORN STREET,PAISLEY,PA3 4AY,,,SCOTLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AANS GLOBE LIMITED,13160289,Active,ltd,,26-01-2021,[46310],,90 MILL LANE,LONDON,NW6 1NL,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARYASMI CONSULTANCY LTD,6603086,Active,ltd,,27-05-2008,[46310],,63 MASWELL PARK ROAD,HOUNSLOW,TW3 2DP,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAYKINZE LTD,13370112,Active,ltd,,30-04-2021,[46310],,UNIT 7B CRANBROOK HOUSE,ILFORD,IG1 4PG,61 CRANBROOK ROAD,Essex,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB CATERING (BLACKBURN) LTD,11427374,Active,ltd,,21-06-2018,[46310],,455 WHALLEY NEW ROAD,BLACKBURN,BB1 9SP,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB FRUIT & VEG LTD,12208331,Active,ltd,,16-09-2019,[46310],,26 OWEN WAY,LONDON,NW10 0TU,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBAS KHAN LTD,5678643,Active - Proposal to Strike off,ltd,,17-01-2006,[46310],,42 ALBERT ROAD,BIRMINGHAM,B33 9BD,STECHFORD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBEY FRUIT & VEG LTD,12133791,Active,ltd,,01-08-2019,[46310],,34A VICTORIA ROAD,SURBITON,KT6 4JL,34 VICTORIA ROAD,Surrey,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBEY POTATOES LIMITED,SC699194,Active,ltd,,19-05-2021,[46310],,C/O GRAMPIAN GROWERS LTD,MONTROSE,DD10 9LD,LOGIE,Angus,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBEY PRODUCE LTD,1516331,Active,ltd,,08-09-1980,[46310],,NENE LODGE FUNTHAMS LANE,PETERBOROUGH,PE7 2PB,WHITTLESEY,Cambridgeshire,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBEY VIEW PRODUCER ORGANISATION LIMITED,3616148,Active,ltd,,14-08-1998,[46310],,ABBEY VIEW NURSERY,WALTHAM ABBEY,EN9 2AG,GALLEY HILL ROAD,Essex,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBIEDAN INTERNATIONAL LIMITED,14226178,Active,ltd,,11-07-2022,[46310],,160 CARTMELL ROAD,SHEFFIELD,S8 0NN,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBITAL LIMITED,13201332,Active,ltd,,15-02-2021,[46310],,82 REDDISH ROAD,STOCKPORT,SK5 7QU,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC STORES LTD,13867550,Active,ltd,,24-01-2022,[46310],,"14 BRADFORDS CLOSE, BRADFORDS CLOSE",BOTTISHAM,CB25 9DW,,Cambridgeshire,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC STUDYANDSERVICE LIMITED,11128941,Active,ltd,,02-01-2018,[46310],,UNIT 55,EALING,W5 2AA,4 SPRING BRIDGE ROAD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABERDEEN AND STANTON LIMITED,622877,Active,ltd,,11-03-1959,[46310],,KELLEY & LOWE LTD GWYNFA HOUSE,DARTFORD,DA2 6EF,677 PRINCES ROAD,Kent,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABI FOODS INTERNATIONAL LIMITED,14508894,Active,ltd,,28-11-2022,[46310],,7 BELL YARD,LONDON,WC2A 2JR,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIBARATH UK LIMITED,8581219,Active,ltd,,24-06-2013,[46310],,"FLAT 5,THE ODEON",BARKING,IG11 8RR,"22-30,LONGBRIDGE ROAD",,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABM FRESH UK LTD,13089134,Active,ltd,,18-12-2020,[46310],,EDWARD HOUSE,ELY,CB6 3NW,LANCASTER WAY BUSINESS PARK,Cambs,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
